영단어,동의어,단어뜻,예문,예문뜻
pessimism,optimism,"염세주의, 비관론",Pessimism is dominant about job prospects.,취업 전망에 대해서는 비관론이 우세하다.
phenomenon,,현상(現象); 사건,No one is really concerned about this serious phenomenon.,이런 심각한 현상에 대해 아무도 진정으로 걱정하지 않는다.
society,,"사회 ; 사교(社交), 교제; 협회, 단체",Cellular phones are necessity in the modern society.,현대 사회에서 휴대폰은 필수품이다.
contrary,,"반대되는, 적합하지 않은, ~에 상반되는; 정반대","You think me idle, but on the contrary I am very busy.","너는 내가 한가한 줄 아는 모양인데, 오히려 난 너무 바쁘다."
essential,"indispensable, fundamental","본질적인; 필수적인 , 가장 중요 한; 본질적 요소",A high level of training is essential in today's workplace.,요즘 사업장에서는 수준 높은 교육이 필수적이다.
expect,,"기대하다, 바라다 ; 예상하다, ~라고 생각하다",This movie is expected to be one of this summer's biggest blockbusters.,이 영화는 이번 여름 최고 흥행작 중의 하나가 될 것으로 예상되고 있다.
polite,courteous,"공손한, 예의바른","Although the service was slow, the waiters were polite.",서비스가 신속하지는 않았지만 웨이터들은 친절했다.
rude,impolite,"버릇없는, 무례한; 야만의",It´s rude to interrupt when someone else is speaking.,남이 이야기하고 있는데 끼어드는 것은 실례가 된다.
grateful,"thankful, appreciative","감사하는, 고마운",He was grateful for the support he received.,그는 자신에게 보내 준 성원에 감사했다.
psychology,,심리학 ; 심리(상태),Pavlov's experiment in which he trains a dog to salivate on hearing a bell is a paradigm of the conditioned-response experiment in behavioral psychology.,개가 종소리를 들었을 때 침을 흘리도록 훈련시킨 파블로프의 실험은 행동 심리학의 조건 반사에 관한 전형적인 예다.
mental,"intellectual,","마음의, 정신의 ; 지능의",He's planning to take a holiday for mental relaxation.,(그는 정신적 휴식을 위해 하루 휴가를 얻을 계획이다.
racial,,"인종의 , 인종상의, 종족의",His remarks fanned the flames of racial tension.,그의 말은 인종적 긴장 상태에 불을 붙였다.
isolate,"separate, break up",고립시키다; 격리시키다,His mission is to isolate the enemy by destroying all the bridges.,그의 임무는 모든 다리를 파괴함으로써 적을 고립시키는 것이다.
conscious,,"의식하고 있는, 의식적인",I am conscious of the importance of the matter.,나는 그 일의 중요성을 알고 있다.
relate,,이야기하다; 관련짓다,We can't relate these results with any particular cause.,이 결과를 특정한 원인과 관련시켜서 생각할 수는 없다.
apologize,say sorry,"사과하다, 사죄하다",I apologized for my outrageous behavior.,나는 난폭한 행동에 대해 사과했다.
obey,submit to,"복종하다, 순종하다",The stubborn boy refused to obey his mother.,고집 센 소년은 그의 어머니에게 순종하는 것을 거부했다.
sociology,,사회학 ; 군집 생태학,I have a double major in political science and sociology.,전 정치학과 사회학을 복수 전공하고 있습니다.
confront,face,"직면하다, 맞서다","If people don't confront a certain amount of stress, they will end up being bored.",사람들이 삶에서 어느 정도의 스트레스를 직면하지 않는다면 그들의 삶은 지루해 질 것이다.
controversy,"argument, quarrel, dispute","논쟁, 논의; 분쟁",The question gave rise to much controversy.,그 문제는 많은 논쟁을 불러 일으켰다.
reluctant,unwilling,"마음이 내키지 않는, 마지못해 하는",Students are reluctant to do anything that takes time away from their studies.,학생들은 학업 시간을 빼앗는 어떤 일도 하고 싶어 하지 않는다.
status,position,상태; 지위; 자격; 신분,"The goal of education is not wealth or status, but personal development.",교육의 목표는 부(富)나 지위가 아니라 인격의 형성에 있다.
courtesy,"politeness, good manners, kindness","예의, 공손, 친절",There should be courtesy even among intimates.,친한 사이에도 예의가 있어야 한다.
unique,"peculiar, special","독특한, 특이한; 멋진",Each individual has a completely unique set of genetic information.,각 개인은 아주 독특한 유전자 정보 세트를 가지고 있다.
refugee,,"피난자, 난민 ; 망명자, 도피자",The refugees will have difficulty in adapting to allen culture.,(그 난민들은 외국의 문화에 적응하는 데 어려움이 있을 것이다.
heed,"take notice of, pay attention to","조심하다, 주의하다; 주의, 조심","He gave heed to our advice, hence came his success.",그는 우리의 충고에 귀를 기울였기 때문에 성공했다.
aspire,"desire, long for",열망하다 ; 동경하다,Aspiring musicians must practise many hours a day.,(음악가가 되기를 열망한다면 하루에 많은 시간을 연습해야 한다.
convention,,집회; 관습; 협정,He was absent from the convention.,그는 그 집회에 참석하지 않았다.
convention,,집회; 관습; 협정,He wanted to be free from the bondage of social conventions.,그는 사회적 관습의 속박으로부터 해방되고 싶었다.
reinforce,"strengthen, fortify",강화하다 ; 힘을 북돋우다,Getting a good night's sleep might help to reinforce what you have learned.,잠을 푹 자면 여러분의 학습 효과를 증진하는 데 도움이 될 수도 있다.
stimulate,"inspire, encourage",자극하다; 격려하다,Praise stimulates students to work hard.,칭찬은 학생들을 자극하여 열심히 공부하게 한다.
acknowledge,,"인정하다, 감사하다",We should acknowledge the rights of others.,우리는 다른 사람의 권리를 인정해야 한다.
segregate,"divide, separate, set apart",분리[격리]하다 ; 차별 대우를 하다; (지역·국가에) 차별 정책을 쓰다,Every local government segregated blacks from whites in the 1950s.,1950년대에 모든 주 정부는 흑인과 백인을 분리했다.
add,,"더하다, 합계를 하다 ; 첨가하다, 덧붙이다",I added several more items to the list.,나는 목록에 몇 개의 품목을 추가했다.
spread,,"펴다, 펼치다, 뻗다, 퍼지다; 뿌리다",Humanism spread throughout Europe in the Middle Ages.,인본주의는 중세기의 유럽 도처에 전파되었다.
tiny,very small,"작은 , 조그마한",The hermit lives in a tiny cottage.,그 은둔자는 작은 오두막에서 살고 있다.
average,"standard, normal","평균(의), 보통(의)",The average sales increase may be as high as 12 to 15 percent.,평균 판매 증가는 12%~15%로 높아질 수도 있다.
measure,,"측정하다 ; (인물을) 평가하다; 측정; (복수형 -s) 수단, 조치",The satellite can measure minute movements of the earth's surface from far away in space.,이 위성은 멀리 우주에서 지표면의 작은 움직임까지 측정할 수 있다.
measure,,"측정하다 ; (인물을) 평가하다; 측정; (복수형 -s) 수단, 조치",The government took measures to promote domestic industry.,정부는 국내 산업을 조장할 대책을 세웠다.
lessen,"diminish, reduce, decrease","작게 하다, 줄이다 ; 적어지다, 줄다",There is a way to lessen production costs without sacrificing quality.,품질은 그대로 유지하면서 생산 원가를 낮추는 방법이 있다.
straight,,"곧은, 일직선의 ; 수직의; 생머리의",It is hard for an empty sack to stand straight.,빈 자루는 똑바로 서지 못한다.
square,,정사각형; 사각의 것[면]; (거리의) 광장,The shape of the tables is square.,테이블 모양이 사각이다.
equal,,"같은, 동등한; ~와 같다, 필적하다",Everything outside the car appears to be moving at an equal speed backward.,차 밖의 모든 것들은 동일한 속도로 뒤로 움직이고 있는 것처럼 보인다.
infinite,"boundless, limitless","무한한, 끝이 없는, 막대한",The Internet has opened up infinite possibilities.,인터넷이 무한한 가능성을 열어놓았다.
huge,"enormous, tremendous, immense",거대한 ; 막대한,The strike is a huge setback for Ana Airline's business this year.,파업은 아나 항공사의 올해 사업에 막대한 지장이 되고 있다.
angle,,"각도 ; 관점; (사물의) 양상, 국면; 상황",This line is at right angles with that one.,이 선은 저 선과 직각을 이루고 있다.
angle,,"각도 ; 관점; (사물의) 양상, 국면; 상황","To solve the problem, view it from more than one angle.",그 문제를 풀려면 여러 관점에서 보아라.
contract,"compress, constrict, agreement",수축시키다 ; 죄다; 축소하 다,"The brain sends signal to the throat, making it contract, and this contraction makes you feel thirsty.","두뇌는 식도에 신호를 보내서 식도가 수축하게 하며, 이러한 식도의 수축은 갈증을 느끼게 한다."
extend,,"늘이다, 늘어나다 ; 뻗다, 펴다",Could I extend my stay until this Sunday?,금주 일요일까지 숙박을 연장할 수 있겠습니까?
numerous,"many, countless","다수의, 셀 수 없이 많은",The unexpected findings have numerous implications for the future of our species.,우연한 발견들이 인류의 미래에 여러 가지 밀접한 관계를 가진다.
diminish,"decrease, lessen, reduce","줄이다, 감소시키다 , 작게 하다",The deficit has been diminishing little by little.,적자는 점차 감소되어 가고 있다.
geometry,,기하학,He´s a real hand at geometry.,그는 기하학에 능숙하다.
enormous,"huge, tremendous, gigantic","거대한 , 막대한, 매우 큰",It is deplorable that crimes by young people are increasing at an enormous rate.,젊은이들의 범죄가 격증하고 있는 것은 개탄할 일이다.
expand,broaden,"펼치다; 넓히다 , 확장[확대]하다; 퍼지다",Heating and cooling can cause matter to expand and contract.,가열과 냉각은 물질을 팽창하고 수축하게 만든다.
immense,"huge, enormous","막대한 , 무한한; 거대한",He left them an immense fortune that they might live in comfort.,그는 그들이 안락하게 살 수 있도록 막대한 재산을 남겼다.
